fold,regressor,RMSE,MAE
2,KNN,0.3819310056677642,0.24173904248839592
2,Random Forest,0.39642733142417036,0.2423667388154175
2,Gradient Boosting,0.5000855467877465,0.4129980989777344
3,KNN,0.3849340563407218,0.2447192015488737
3,Random Forest,0.3912447027822915,0.23087309833790448
3,Gradient Boosting,0.5235330671948287,0.386980821826822
4,KNN,0.3769166279858769,0.23379424911092153
4,Random Forest,0.3355819462990291,0.24710307446589763
4,Gradient Boosting,0.397042306915879,0.3170888233947578
5,KNN,0.4735101670784505,0.3118770154295563
5,Random Forest,0.4197073395957634,0.24009060730609508
5,Gradient Boosting,0.4584248635750323,0.3261539418044919
6,KNN,0.5710344396435931,0.3310747787822485
6,Random Forest,0.5093437565445893,0.2629358587462299
6,Gradient Boosting,0.5878586229400512,0.40009875675212236
