fold,regressor,RMSE,MAE
2,KNN,0.4465806323595626,0.28868668786784984
2,Random Forest,0.38437255963678657,0.24324160184920535
2,Gradient Boosting,0.4881639031346736,0.3979197209576341
3,KNN,0.42722009842246067,0.2687490135935836
3,Random Forest,0.39959561303281077,0.23229678562401537
3,Gradient Boosting,0.5238886617186116,0.396004782549813
4,KNN,0.39912055116539635,0.26739505304061434
4,Random Forest,0.34268828660347667,0.25237963057903645
4,Gradient Boosting,0.40628242660175673,0.32650477176005444
5,KNN,0.48346694784439376,0.3083752392950171
5,Random Forest,0.42932592874054964,0.2400399162353698
5,Gradient Boosting,0.4786026311967016,0.34664523545415565
6,KNN,0.53934452014496,0.3207416859771507
6,Random Forest,0.5431569653156771,0.27480257737191516
6,Gradient Boosting,0.6223618966126824,0.44517302393877406
7,KNN,0.31581115744295846,0.21148852145972696
7,Random Forest,0.3654415687060767,0.21287914121979296
7,Gradient Boosting,0.5351292987734284,0.4445303504855491
